Time,wind_m7,wind_m14,wind_m31,wind_m54
2025-04-04 00:00:00,0.9166666666666666,0.0,0.0,0.0
2025-04-04 01:00:00,0.8350000000000001,0.0,0.19333333333333333,0.19499999999999998
2025-04-04 02:00:00,0.47333333333333333,0.0,0.06166666666666667,0.4533333333333333
2025-04-04 03:00:00,0.48333333333333334,0.275,0.48166666666666663,0.335
2025-04-04 04:00:00,1.195,0.9516666666666667,1.1483333333333334,0.9166666666666666
2025-04-04 05:00:00,1.4016666666666666,1.0333333333333334,1.3483333333333334,0.995
2025-04-04 06:00:00,1.2433333333333332,1.355,1.3033333333333335,1.1066666666666667
2025-04-04 07:00:00,1.4183333333333332,1.4133333333333333,1.1466666666666667,1.18
2025-04-04 08:00:00,1.49,1.3983333333333334,1.5333333333333334,1.4516666666666667
2025-04-04 09:00:00,1.37,1.3599999999999999,0.9966666666666666,1.1266666666666665
2025-04-04 10:00:00,1.6166666666666667,1.6383333333333332,1.2066666666666668,1.4200000000000002
2025-04-04 11:00:00,1.5216666666666667,1.01,0.8833333333333333,1.1183333333333332
2025-04-04 12:00:00,0.7366666666666667,0.3466666666666667,0.4933333333333333,0.5583333333333333
2025-04-04 13:00:00,0.8983333333333333,0.0,0.5166666666666667,0.006666666666666667
2025-04-04 14:00:00,1.2533333333333334,0.07,0.44333333333333336,0.185
2025-04-04 15:00:00,1.4133333333333333,0.19333333333333333,0.5399999999999999,0.08666666666666667
2025-04-04 16:00:00,1.145,0.19333333333333333,0.49166666666666664,0.0
2025-04-04 17:00:00,1.6633333333333333,0.575,0.14166666666666666,0.245
2025-04-04 18:00:00,1.5266666666666666,0.6766666666666666,0.4266666666666667,0.8916666666666667
2025-04-04 19:00:00,1.6316666666666668,0.48666666666666664,0.3783333333333333,0.8366666666666667
2025-04-04 20:00:00,1.6366666666666667,0.58,0.6166666666666667,1.0416666666666667
2025-04-04 21:00:00,1.7933333333333332,0.36833333333333335,0.2816666666666667,0.9683333333333334
2025-04-04 22:00:00,1.6916666666666667,1.0366666666666666,1.2516666666666665,1.1033333333333333
2025-04-04 23:00:00,1.695,1.595,1.665,1.4766666666666666
2025-04-05 00:00:00,1.725,1.6333333333333333,2.1766666666666667,1.6366666666666667
2025-04-05 01:00:00,1.8566666666666667,1.8816666666666668,1.9816666666666667,1.7483333333333335
2025-04-05 02:00:00,2.1966666666666668,2.496666666666667,2.6366666666666663,1.8133333333333332
2025-04-05 03:00:00,2.135,2.7366666666666664,2.5,1.6849999999999998
2025-04-05 04:00:00,2.8216666666666668,3.3983333333333334,3.1683333333333334,3.478333333333333
2025-04-05 05:00:00,3.6683333333333334,3.6683333333333334,4.168333333333333,3.578333333333333
2025-04-05 06:00:00,3.496666666666667,3.7183333333333333,3.865,3.3516666666666666
2025-04-05 07:00:00,3.393333333333333,2.871666666666667,4.098333333333334,3.9033333333333333
2025-04-05 08:00:00,3.453333333333333,3.295,3.783333333333333,3.7066666666666666
2025-04-05 09:00:00,3.4633333333333334,2.885,3.981666666666667,3.8216666666666668
