Time,Wind M9,Wind M29,Wind M54,Wind M78
2025-04-03 23:00:00,0.48555,0.126925,0.0,1.8175
2025-04-04 00:00:00,0.4768166666666666,0.5165333333333334,0.0,1.3331666666666666
2025-04-04 01:00:00,0.0,0.23121,0.18239999999999998,1.2525000000000002
2025-04-04 02:00:00,0.31739333333333336,0.23853666666666667,0.34014333333333335,1.3015
2025-04-04 03:00:00,1.1386666666666665,0.9074666666666666,0.5409333333333334,0.8209
2025-04-04 04:00:00,1.6371666666666667,0.7778166666666666,0.5837166666666668,0.7543833333333333
2025-04-04 05:00:00,1.7510000000000001,0.54085,1.5839500000000002,1.1501
2025-04-04 06:00:00,1.6266666666666665,1.0469166666666667,0.9704999999999999,1.0289
2025-04-04 07:00:00,1.5301666666666667,1.0994166666666667,0.9700166666666666,1.3371833333333332
2025-04-04 08:00:00,1.6575,0.9805333333333334,0.9677333333333333,1.5493333333333332
2025-04-04 09:00:00,2.1746666666666665,1.18805,1.0768666666666666,1.2821666666666665
2025-04-04 10:00:00,2.0981666666666667,0.86515,1.3394166666666665,1.3629833333333332
2025-04-04 11:00:00,2.207333333333333,2.4618333333333333,1.8326166666666666,2.3522499999999997
2025-04-04 12:00:00,1.2172666666666667,0.7226666666666667,2.5016666666666665,3.1608333333333336
2025-04-04 13:00:00,0.41786666666666666,0.3325166666666667,2.2105,2.182
2025-04-04 14:00:00,0.60765,0.0,0.22165333333333334,0.9768166666666667
2025-04-04 15:00:00,0.5546833333333333,0.6118166666666667,0.32325,1.29955
2025-04-04 16:00:00,0.5258666666666667,1.12745,0.48996999999999996,1.1863333333333335
2025-04-04 17:00:00,0.6777666666666666,1.3116666666666668,0.08333333333333333,1.2625
2025-04-04 18:00:00,0.5418833333333333,0.8847666666666666,0.0,1.022
2025-04-04 19:00:00,0.6248333333333334,0.5641333333333333,0.5430966666666667,0.8265499999999999
2025-04-04 20:00:00,0.2702666666666667,0.5841833333333334,0.3686666666666667,0.7792166666666667
2025-04-04 21:00:00,0.4211266666666667,0.634,0.05325,0.8111999999999999
2025-04-04 22:00:00,0.7761666666666667,0.64355,0.7707333333333334,0.4587333333333333
2025-04-04 23:00:00,1.2716166666666666,0.43478333333333335,1.4558666666666666,0.50797
2025-04-05 00:00:00,1.2943166666666668,0.030525000000000004,1.6168833333333335,1.3504833333333333
2025-04-05 01:00:00,3.2468333333333335,0.9802833333333333,1.4749,2.237
2025-04-05 02:00:00,2.864,0.9951333333333333,1.7854999999999999,2.4251666666666667
2025-04-05 03:00:00,4.431,1.1807,2.584,2.6478333333333333
2025-04-05 04:00:00,3.8160000000000003,1.2686,2.018,3.0768333333333335
2025-04-05 05:00:00,5.296833333333334,1.8191666666666668,1.9423333333333335,3.7176666666666667
2025-04-05 06:00:00,5.248333333333333,2.0766666666666667,2.530333333333333,3.5473333333333334
2025-04-05 07:00:00,5.354833333333334,2.871666666666667,2.738,4.122333333333334
